Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
226.21	0.10000	7.3790	0.13552	-32.986	-32.973	-111.49	157.30	203.65	1457.9	-0.49747	1094.9	0.14429	liquid
226.52	0.10000	7.3764	0.13557	-32.922	-32.909	-111.21	157.36	203.71	1456.5	-0.49722	1088.1	0.14419	liquid
226.84	0.10000	7.3738	0.13562	-32.858	-32.845	-110.92	157.42	203.77	1455.0	-0.49697	1081.4	0.14410	liquid
227.15	0.10000	7.3712	0.13566	-32.794	-32.781	-110.64	157.48	203.83	1453.5	-0.49672	1074.7	0.14400	liquid
227.46	0.10000	7.3686	0.13571	-32.730	-32.717	-110.36	157.54	203.89	1452.0	-0.49647	1068.1	0.14391	liquid
227.78	0.10000	7.3661	0.13576	-32.666	-32.653	-110.08	157.60	203.95	1450.6	-0.49621	1061.6	0.14381	liquid
228.09	0.10000	7.3635	0.13581	-32.602	-32.589	-109.80	157.66	204.01	1449.1	-0.49596	1055.1	0.14372	liquid
228.41	0.10000	7.3609	0.13585	-32.538	-32.524	-109.52	157.72	204.07	1447.6	-0.49570	1048.7	0.14362	liquid
228.72	0.10000	7.3583	0.13590	-32.474	-32.460	-109.24	157.78	204.13	1446.2	-0.49544	1042.4	0.14352	liquid
229.03	0.10000	7.3557	0.13595	-32.410	-32.396	-108.96	157.85	204.19	1444.7	-0.49518	1036.1	0.14343	liquid
229.35	0.10000	7.3531	0.13600	-32.346	-32.332	-108.68	157.91	204.26	1443.2	-0.49492	1029.9	0.14333	liquid
229.66	0.10000	7.3505	0.13604	-32.282	-32.268	-108.40	157.97	204.32	1441.7	-0.49466	1023.7	0.14324	liquid
229.98	0.10000	7.3480	0.13609	-32.217	-32.204	-108.12	158.03	204.38	1440.3	-0.49439	1017.7	0.14314	liquid
230.29	0.10000	7.3454	0.13614	-32.153	-32.140	-107.84	158.10	204.45	1438.8	-0.49413	1011.6	0.14305	liquid
230.60	0.10000	7.3428	0.13619	-32.089	-32.075	-107.56	158.16	204.51	1437.3	-0.49386	1005.6	0.14295	liquid
230.92	0.10000	7.3402	0.13624	-32.025	-32.011	-107.28	158.23	204.58	1435.9	-0.49359	999.72	0.14285	liquid
231.23	0.10000	7.3376	0.13628	-31.960	-31.947	-107.00	158.29	204.64	1434.4	-0.49332	993.85	0.14276	liquid
231.55	0.10000	7.3350	0.13633	-31.896	-31.883	-106.73	158.36	204.71	1432.9	-0.49305	988.04	0.14266	liquid
